0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
1
1
1
1
1
1
1
1
1
1
2
3
3
28
41
47
58
69
83
96
118
134
161
181
227
249
290
332
359
396
423
449
487
522
560
593
646
682
722
781
825
881
939
1,008
1,079
1,154
1,231
1,323
1,463
1,566
1,694
1,785
1,889
1,986
2,102
2,214
2,295
2,415
2,552
2,649
2,753
2,873
3,025
3,156
3,302
3,436
3,584
3,726
3,868
4,024
4,173
4,346
4,534
4,710
4,978
5,183
5,405
5,606
5,828
6,087
6,361
6,647
6,944
7,205
7,476
7,748
8,106
8,500
8,888
9,197
9,521
9,917
11,921
12,262
12,605
12,969
13,277
13,703
14,015
14,483
14,907
15,308
15,689
16,103
16,487
16,904
17,409
17,847
18,225
18,669
19,280
19,701
20,174
20,653
21,144
